,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,8,1,0,.889,190,128,62,6.9,0.5,7.4,2.2,5.2
1,Dallas Cowboys,6,3,0,.667,226,145,81,9.0,-0.8,8.2,5.2,3.0
2,St. Louis Cardinals,5,4,0,.556,135,170,-35,-3.9,1.2,-2.7,-4.1,1.4
3,New York Giants,4,5,0,.444,164,160,4,0.4,0.5,1.0,-1.9,2.9
4,Philadelphia Eagles,3,6,0,.333,191,195,-4,-0.4,1.1,0.7,2.7,-2.0
5,Green Bay Packers,5,3,1,.611,226,169,57,6.3,-0.2,6.2,4.6,1.5
6,Minnesota Vikings,5,4,0,.556,187,198,-11,-1.2,2.4,1.2,2.1,-1.0
7,Tampa Bay Buccaneers,5,4,0,.556,158,178,-20,-2.2,3.1,0.9,-0.4,1.3
8,Detroit Lions,4,5,0,.444,181,176,5,0.6,0.8,1.3,-0.4,1.7
9,Chicago Bears,3,6,0,.333,141,174,-33,-3.7,-1.7,-5.4,-4.2,-1.2
10,Atlanta Falcons,5,4,0,.556,183,199,-16,-1.8,-2.0,-3.8,-0.5,-3.3
11,New Orleans Saints,4,5,0,.444,129,160,-31,-3.4,-0.3,-3.8,-5.7,1.9
12,San Francisco 49ers,3,6,0,.333,209,206,3,0.3,-2.8,-2.4,0.3,-2.8
13,Los Angeles Rams,2,7,0,.222,200,250,-50,-5.6,-1.4,-6.9,0.9,-7.9
14,Miami Dolphins,7,2,0,.778,198,131,67,7.4,0.8,8.2,2.6,5.6
15,New York Jets,6,3,0,.667,245,166,79,8.8,1.7,10.5,8.8,1.7
16,New England Patriots,5,4,0,.556,143,157,-14,-1.6,-0.8,-2.4,-3.7,1.3
17,Buffalo Bills,4,5,0,.444,150,154,-4,-0.4,1.9,1.5,-1.9,3.4
18,Baltimore Colts,0,8,1,.056,113,236,-123,-13.7,4.8,-8.8,-6.1,-2.7
19,Cincinnati Bengals,7,2,0,.778,232,177,55,6.1,-2.5,3.6,3.5,0.2
20,Pittsburgh Steelers,6,3,0,.667,204,146,58,6.4,-1.3,5.2,3.4,1.8
21,Cleveland Browns,4,5,0,.444,140,182,-42,-4.7,1.2,-3.5,-5.0,1.5
22,Houston Oilers,1,8,0,.111,136,245,-109,-12.1,1.1,-11.0,-3.9,-7.1
23,Los Angeles Raiders,8,1,0,.889,260,200,60,6.7,-1.5,5.2,6.1,-0.9
24,San Diego Chargers,6,3,0,.667,288,221,67,7.4,-2.1,5.3,10.6,-5.3
25,Seattle Seahawks,4,5,0,.444,127,147,-20,-2.2,-3.2,-5.4,-7.5,2.0
26,Kansas City Chiefs,3,6,0,.333,176,184,-8,-0.9,0.7,-0.2,-1.9,1.6
27,Denver Broncos,2,7,0,.222,148,226,-78,-8.7,-1.1,-9.7,-6.0,-3.8
