,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,12,4,0,.750,384,222,162,10.1,-0.4,9.7,2.9,6.8
1,Dallas Cowboys,12,4,0,.750,454,311,143,8.9,-1.0,8.0,7.8,0.1
2,Washington Redskins,6,10,0,.375,261,293,-32,-2.0,0.9,-1.1,-4.4,3.3
3,St. Louis Cardinals,5,11,0,.313,299,350,-51,-3.2,0.8,-2.4,-1.7,-0.7
4,New York Giants,4,12,0,.250,249,425,-176,-11.0,1.3,-9.7,-4.3,-5.5
5,Minnesota Vikings,9,7,0,.563,317,308,9,0.6,-0.9,-0.3,0.0,-0.3
6,Detroit Lions,9,7,0,.563,334,272,62,3.9,-2.2,1.7,-0.8,2.5
7,Chicago Bears,7,9,0,.438,304,264,40,2.5,-1.1,1.4,-1.2,2.6
8,Tampa Bay Buccaneers,5,10,1,.344,271,341,-70,-4.4,-0.7,-5.1,-3.5,-1.6
9,Green Bay Packers,5,10,1,.344,231,371,-140,-8.8,-0.3,-9.0,-5.8,-3.2
10,Atlanta Falcons,12,4,0,.750,405,272,133,8.3,-0.5,7.8,4.5,3.4
11,Los Angeles Rams,11,5,0,.688,424,289,135,8.4,-1.9,6.5,4.4,2.1
12,San Francisco 49ers,6,10,0,.375,320,415,-95,-5.9,-0.3,-6.3,-1.2,-5.1
13,New Orleans Saints,1,15,0,.063,291,487,-196,-12.3,1.8,-10.4,-1.1,-9.4
14,Buffalo Bills,11,5,0,.688,320,260,60,3.8,0.2,3.9,-1.6,5.5
15,New England Patriots,10,6,0,.625,441,325,116,7.3,-0.8,6.5,6.8,-0.3
16,Miami Dolphins,8,8,0,.500,266,305,-39,-2.4,0.9,-1.6,-4.6,3.1
17,Baltimore Colts,7,9,0,.438,355,387,-32,-2.0,0.5,-1.5,2.8,-4.3
18,New York Jets,4,12,0,.250,302,395,-93,-5.8,0.7,-5.1,-1.5,-3.6
19,Cleveland Browns,11,5,0,.688,357,310,47,2.9,-1.1,1.8,1.7,0.1
20,Houston Oilers,11,5,0,.688,295,251,44,2.8,-1.1,1.6,-2.7,4.4
21,Pittsburgh Steelers,9,7,0,.563,352,313,39,2.4,-0.2,2.3,2.4,-0.1
22,Cincinnati Bengals,6,10,0,.375,244,312,-68,-4.3,0.6,-3.7,-4.5,0.8
23,San Diego Chargers,11,5,0,.688,418,327,91,5.7,0.4,6.0,6.5,-0.4
24,Oakland Raiders,11,5,0,.688,364,306,58,3.6,0.6,4.2,2.9,1.3
25,Kansas City Chiefs,8,8,0,.500,319,336,-17,-1.1,0.6,-0.5,-0.8,0.3
26,Denver Broncos,8,8,0,.500,310,323,-13,-0.8,1.3,0.5,-1.1,1.6
27,Seattle Seahawks,4,12,0,.250,291,408,-117,-7.3,2.0,-5.3,-1.6,-3.7
