,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,11,3,0,.786,363,325,38,2.7,-7.1,-4.4,-0.2,-4.2
1,Dallas Cowboys,7,7,0,.500,325,280,45,3.2,-6.5,-3.3,-3.1,-0.2
2,New York Giants,7,7,0,.500,270,338,-68,-4.9,-5.4,-10.3,-6.8,-3.5
3,Washington Redskins,6,8,0,.429,257,301,-44,-3.1,-5.8,-9.0,-7.4,-1.6
4,St. Louis Cardinals,5,9,0,.357,296,309,-13,-0.9,-6.1,-7.0,-4.6,-2.4
5,Philadelphia Eagles,5,9,0,.357,363,359,4,0.3,-6.3,-6.0,1.0,-7.0
6,Pittsburgh Steelers,2,12,0,.143,202,397,-195,-13.9,-4.4,-18.3,-10.8,-7.5
7,Green Bay Packers,10,3,1,.769,316,224,92,6.6,5.1,11.7,1.2,10.5
8,Baltimore Colts,10,3,1,.769,389,284,105,7.5,5.4,12.9,7.0,5.9
9,Chicago Bears,9,5,0,.643,409,275,134,9.6,5.0,14.6,8.6,5.9
10,San Francisco 49ers,7,6,1,.538,421,402,19,1.4,5.8,7.1,10.7,-3.6
11,Minnesota Vikings,7,7,0,.500,383,403,-20,-1.4,6.5,5.1,7.9,-2.8
12,Detroit Lions,6,7,1,.462,257,295,-38,-2.7,6.7,4.0,-2.5,6.5
13,Los Angeles Rams,4,10,0,.286,269,328,-59,-4.2,7.1,2.9,-1.1,4.0
