,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,8,3,0,.727,255,225,30,2.7,2.5,5.2,0.1,5.1
1,Dallas Cowboys,6,5,1,.542,351,342,9,0.8,-0.9,-0.2,6.8,-7.0
2,Washington Commanders,3,8,0,.273,236,296,-60,-5.5,0.2,-5.3,-2.1,-3.2
3,New York Giants,2,10,0,.167,264,334,-70,-5.8,1.9,-3.9,0.1,-4.1
4,Chicago Bears,8,3,0,.727,289,292,-3,-0.3,-3.4,-3.7,0.7,-4.4
5,Green Bay Packers,8,3,1,.708,294,226,68,5.7,-1.6,4.0,-0.3,4.3
6,Detroit Lions,7,5,0,.583,350,274,76,6.3,-1.0,5.3,5.6,-0.3
7,Minnesota Vikings,4,7,0,.364,224,255,-31,-2.8,-1.1,-3.9,-3.6,-0.3
8,Tampa Bay Buccaneers,6,5,0,.545,259,284,-25,-2.3,3.8,1.5,2.8,-1.3
9,Carolina Panthers,6,6,0,.500,216,269,-53,-4.4,-0.5,-4.9,-5.5,0.6
10,Atlanta Falcons,4,7,0,.364,219,249,-30,-2.7,-0.8,-3.5,-3.4,-0.1
11,New Orleans Saints,2,9,0,.182,165,274,-109,-9.9,1.6,-8.3,-8.0,-0.3
12,Los Angeles Rams,9,2,0,.818,306,179,127,11.5,2.5,14.0,6.0,8.0
13,Seattle Seahawks,8,3,0,.727,324,217,107,9.7,1.0,10.7,7.2,3.5
14,San Francisco 49ers,8,4,0,.667,281,261,20,1.7,2.9,4.5,2.3,2.3
15,Arizona Cardinals,3,8,0,.273,248,283,-35,-3.2,2.1,-1.0,-0.1,-1.0
16,New England Patriots,10,2,0,.833,318,226,92,7.7,-5.0,2.7,1.6,1.1
17,Buffalo Bills,7,4,0,.636,311,252,59,5.4,-1.8,3.5,5.5,-1.9
18,Miami Dolphins,4,7,0,.364,226,269,-43,-3.9,-1.4,-5.3,-3.6,-1.7
19,New York Jets,2,9,0,.182,219,291,-72,-6.5,-1.6,-8.2,-4.8,-3.4
20,Pittsburgh Steelers,6,5,0,.545,274,263,11,1.0,-1.5,-0.5,0.3,-0.8
21,Baltimore Ravens,6,6,0,.500,289,293,-4,-0.3,-1.0,-1.3,0.8,-2.2
22,Cincinnati Bengals,4,8,0,.333,280,374,-94,-7.8,-0.4,-8.3,0.1,-8.4
23,Cleveland Browns,3,8,0,.273,186,244,-58,-5.3,-2.2,-7.5,-7.5,0.0
24,Indianapolis Colts,8,3,0,.727,341,229,112,10.2,-1.2,9.0,8.5,0.4
25,Jacksonville Jaguars,7,4,0,.636,267,250,17,1.5,2.2,3.8,3.4,0.4
26,Houston Texans,6,5,0,.545,243,182,61,5.5,2.5,8.0,-0.3,8.4
27,Tennessee Titans,1,10,0,.091,167,303,-136,-12.4,4.7,-7.7,-5.0,-2.6
28,Denver Broncos,9,2,0,.818,257,192,65,5.9,-1.1,4.8,-0.6,5.3
29,Los Angeles Chargers,7,4,0,.636,246,238,8,0.7,-1.4,-0.6,-1.1,0.5
30,Kansas City Chiefs,6,6,0,.500,305,232,73,6.1,0.8,6.9,1.6,5.3
31,Las Vegas Raiders,2,9,0,.182,165,277,-112,-10.2,0.0,-10.2,-8.6,-1.6
