,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,11,1,0,.917,348,162,186,15.5,-1.5,14.0,7.0,7.0
1,Philadelphia Eagles,7,4,1,.636,352,215,137,11.4,-1.0,10.4,8.0,2.3
2,Washington Redskins,6,5,1,.545,208,215,-7,-0.6,-0.4,-1.0,-4.3,3.2
3,Pittsburgh Steelers,6,6,0,.500,211,263,-52,-4.3,0.8,-3.5,-3.0,-0.5
4,New York Giants,3,9,0,.250,179,277,-98,-8.2,2.6,-5.5,-5.2,-0.3
5,Chicago Cardinals,1,10,1,.091,190,337,-147,-12.3,2.6,-9.6,-3.7,-5.9
6,Detroit Lions,10,2,0,.833,271,205,66,5.5,-2.1,3.4,-0.6,4.0
7,San Francisco 49ers,9,3,0,.750,372,237,135,11.3,-0.5,10.7,9.0,1.7
8,Los Angeles Rams,8,3,1,.727,366,236,130,10.8,-3.3,7.5,7.5,0.0
9,Chicago Bears,3,8,1,.273,218,262,-44,-3.7,-0.9,-4.6,-4.5,0.0
10,Baltimore Colts,3,9,0,.250,182,350,-168,-14.0,2.0,-12.0,-5.8,-6.2
11,Green Bay Packers,2,9,1,.182,200,338,-138,-11.5,1.7,-9.8,-4.4,-5.4
