,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,9,5,0,.643,342,268,74,5.3,-2.4,2.9,0.1,2.9
1,Philadelphia Eagles,6,7,1,.462,351,409,-58,-4.1,-1.2,-5.3,2.2,-7.5
2,Washington Redskins,5,6,3,.455,347,353,-6,-0.4,-1.7,-2.1,1.3,-3.4
3,New Orleans Saints,3,11,0,.214,233,379,-146,-10.4,-0.4,-10.8,-6.7,-4.1
4,Cleveland Browns,9,5,0,.643,334,297,37,2.6,-1.3,1.4,0.9,0.5
5,New York Giants,7,7,0,.500,369,379,-10,-0.7,-0.9,-1.6,4.3,-5.9
6,St. Louis Cardinals,6,7,1,.462,333,356,-23,-1.6,-0.7,-2.4,1.4,-3.8
7,Pittsburgh Steelers,4,9,1,.308,281,320,-39,-2.8,-0.6,-3.4,-2.7,-0.7
8,Los Angeles Rams,11,1,2,.917,398,196,202,14.4,-0.9,13.6,6.6,7.0
9,Baltimore Colts,11,1,2,.917,394,198,196,14.0,-0.8,13.2,6.4,6.8
10,San Francisco 49ers,7,7,0,.500,273,337,-64,-4.6,1.5,-3.0,-1.0,-2.0
11,Atlanta Falcons,1,12,1,.077,175,422,-247,-17.6,3.2,-14.5,-7.3,-7.2
12,Green Bay Packers,9,4,1,.692,332,209,123,8.8,0.6,9.4,3.1,6.3
13,Chicago Bears,7,6,1,.538,239,218,21,1.5,1.5,3.0,-3.6,6.6
14,Detroit Lions,5,7,2,.417,260,259,1,0.1,1.7,1.8,-1.6,3.4
15,Minnesota Vikings,3,8,3,.273,233,294,-61,-4.4,2.3,-2.1,-3.2,1.2
