,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,14,2,0,.875,371,236,135,8.4,0.6,9.0,3.2,5.8
1,Washington Redskins,12,4,0,.750,368,296,72,4.5,1.0,5.5,3.5,2.1
2,Dallas Cowboys,7,9,0,.438,346,337,9,0.6,1.5,2.1,3.0,-0.9
3,Philadelphia Eagles,5,10,1,.344,256,312,-56,-3.5,2.0,-1.5,-2.9,1.4
4,St. Louis Cardinals,4,11,1,.281,218,351,-133,-8.3,0.2,-8.1,-6.5,-1.6
5,Chicago Bears,14,2,0,.875,352,187,165,10.3,-2.7,7.6,-0.1,7.7
6,Minnesota Vikings,9,7,0,.563,398,273,125,7.8,-1.3,6.5,4.0,2.5
7,Detroit Lions,5,11,0,.313,277,326,-49,-3.1,-1.2,-4.3,-3.8,-0.5
8,Green Bay Packers,4,12,0,.250,254,418,-164,-10.3,0.7,-9.6,-4.0,-5.6
9,Tampa Bay Buccaneers,2,14,0,.125,239,473,-234,-14.6,-0.8,-15.4,-4.6,-10.8
10,San Francisco 49ers,10,5,1,.656,374,247,127,7.9,-0.9,7.0,2.6,4.4
11,Los Angeles Rams,10,6,0,.625,309,267,42,2.6,-0.8,1.9,-1.1,2.9
12,Atlanta Falcons,7,8,1,.469,280,280,0,0.0,-0.5,-0.5,-2.8,2.3
13,New Orleans Saints,7,9,0,.438,288,287,1,0.1,0.0,0.0,-2.5,2.5
14,New England Patriots,11,5,0,.688,412,307,105,6.6,-0.9,5.7,4.4,1.3
15,New York Jets,10,6,0,.625,364,386,-22,-1.4,0.0,-1.4,2.0,-3.3
16,Miami Dolphins,8,8,0,.500,430,405,25,1.6,-1.1,0.5,6.2,-5.7
17,Buffalo Bills,4,12,0,.250,287,348,-61,-3.8,-2.0,-5.8,-5.0,-0.8
18,Indianapolis Colts,3,13,0,.188,229,400,-171,-10.7,0.3,-10.4,-6.6,-3.8
19,Cleveland Browns,12,4,0,.750,391,310,81,5.1,-1.4,3.6,2.9,0.7
20,Cincinnati Bengals,10,6,0,.625,409,394,15,0.9,0.5,1.5,5.7,-4.2
21,Pittsburgh Steelers,6,10,0,.375,307,336,-29,-1.8,0.9,-1.0,-1.3,0.3
22,Houston Oilers,5,11,0,.313,274,329,-55,-3.4,-0.5,-3.9,-4.4,0.4
23,Denver Broncos,11,5,0,.688,378,327,51,3.2,2.0,5.2,3.4,1.8
24,Kansas City Chiefs,10,6,0,.625,358,326,32,2.0,-1.0,1.0,1.2,-0.1
25,Seattle Seahawks,10,6,0,.625,366,293,73,4.6,1.8,6.4,2.4,4.0
26,Los Angeles Raiders,8,8,0,.500,323,346,-23,-1.4,1.6,0.2,0.0,0.2
27,San Diego Chargers,4,12,0,.250,335,396,-61,-3.8,1.9,-1.9,1.2,-3.1
