,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,7,3,1,.700,236,162,74,6.7,-0.2,6.5,2.3,4.3
1,Philadelphia Eagles,6,5,0,.545,231,220,11,1.0,0.5,1.5,3.7,-2.1
2,Pittsburgh Steelers,5,5,1,.500,136,117,19,1.7,-1.0,0.8,-7.3,8.1
3,Washington Redskins,5,5,1,.500,171,191,-20,-1.8,-0.3,-2.2,-2.8,0.6
4,Boston Yanks,2,8,1,.200,189,273,-84,-7.6,0.5,-7.1,-0.9,-6.2
5,Chicago Bears,8,2,1,.800,289,193,96,8.7,-0.9,7.8,6.5,1.3
6,Los Angeles Rams,6,4,1,.600,277,257,20,1.8,-0.1,1.8,5.9,-4.1
7,Chicago Cardinals,6,5,0,.545,260,198,62,5.6,-0.6,5.1,4.5,0.6
8,Green Bay Packers,6,5,0,.545,148,158,-10,-0.9,0.3,-0.6,-6.8,6.1
9,Detroit Lions,1,10,0,.091,142,310,-168,-15.3,1.7,-13.6,-5.1,-8.5
