,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,New York Giants,8,5,.615,147,107,40,3.1,0.8,3.9,0.9,2.9
1,Boston Redskins,6,6,.500,107,94,13,1.1,-0.8,0.2,-1.7,2.0
2,Brooklyn Dodgers,4,7,.364,61,153,-92,-8.4,0.4,-8.0,-4.2,-3.8
3,Philadelphia Eagles,4,7,.364,127,85,42,3.8,-4.2,-0.4,-1.2,0.8
4,Pittsburgh Pirates,2,10,.167,51,206,-155,-12.9,-1.5,-14.4,-7.7,-6.7
5,Chicago Bears,13,0,1.000,286,86,200,15.4,-1.0,14.3,10.9,3.4
6,Detroit Lions,10,3,.769,238,59,179,13.8,-1.5,12.2,6.6,5.6
7,Green Bay Packers,7,6,.538,156,112,44,3.4,2.2,5.6,2.4,3.1
8,Chicago Cardinals,5,6,.455,80,84,-4,-0.4,2.7,2.3,-3.6,5.9
9,St. Louis Gunners,1,2,.333,27,61,-34,-11.3,0.0,-11.3,-1.6,-9.7
10,Cincinnati Reds,0,8,.000,10,243,-233,-29.1,4.5,-24.6,-6.8,-17.8
