,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,10,6,.625,286,250,36,2.3,0.1,2.4,-2.9,5.3
1,Philadelphia Eagles,10,6,.625,363,341,22,1.4,-0.8,0.6,2.1,-1.6
2,Washington Redskins,9,7,.563,364,312,52,3.3,-1.4,1.8,2.3,-0.4
3,Arizona Cardinals,7,9,.438,300,397,-97,-6.1,-1.4,-7.5,-1.7,-5.8
4,New York Giants,6,10,.375,242,297,-55,-3.4,-0.7,-4.1,-5.7,1.5
5,Green Bay Packers,13,3,.813,456,210,246,15.4,-0.1,15.3,8.7,6.6
6,Minnesota Vikings,9,7,.563,298,315,-17,-1.1,0.9,-0.1,-0.9,0.7
7,Chicago Bears,7,9,.438,283,305,-22,-1.4,1.1,-0.2,-1.4,1.2
8,Tampa Bay Buccaneers,6,10,.375,221,293,-72,-4.5,1.5,-3.0,-5.9,2.9
9,Detroit Lions,5,11,.313,302,368,-66,-4.1,1.2,-2.9,-0.4,-2.5
10,Carolina Panthers,12,4,.750,367,218,149,9.3,-2.3,7.1,1.4,5.6
11,San Francisco 49ers,12,4,.750,398,257,141,8.8,-0.8,8.0,3.7,4.3
12,St. Louis Rams,6,10,.375,303,409,-106,-6.6,0.3,-6.3,-1.7,-4.6
13,Atlanta Falcons,3,13,.188,309,461,-152,-9.5,0.4,-9.1,-0.2,-8.9
14,New Orleans Saints,3,13,.188,229,339,-110,-6.9,-1.2,-8.1,-7.1,-1.0
15,New England Patriots,11,5,.688,418,313,105,6.6,-1.5,5.1,4.9,0.2
16,Buffalo Bills,10,6,.625,319,266,53,3.3,-0.4,2.9,-1.0,3.9
17,Indianapolis Colts,9,7,.563,317,334,-17,-1.1,-0.6,-1.6,-1.8,0.2
18,Miami Dolphins,8,8,.500,339,325,14,0.9,-0.6,0.3,0.6,-0.4
19,New York Jets,1,15,.063,279,454,-175,-10.9,0.8,-10.1,-2.5,-7.6
20,Pittsburgh Steelers,10,6,.625,344,257,87,5.4,-0.3,5.2,0.0,5.1
21,Jacksonville Jaguars,9,7,.563,325,335,-10,-0.6,-0.9,-1.5,-1.6,0.1
22,Cincinnati Bengals,8,8,.500,372,369,3,0.2,-0.3,-0.1,2.5,-2.6
23,Houston Oilers,8,8,.500,345,319,26,1.6,-0.7,1.0,0.1,0.8
24,Baltimore Ravens,4,12,.250,371,441,-70,-4.4,1.4,-2.9,3.9,-6.8
25,Denver Broncos,13,3,.813,391,275,116,7.3,0.3,7.6,3.7,3.9
26,Kansas City Chiefs,9,7,.563,297,300,-3,-0.2,2.0,1.8,-0.7,2.5
27,San Diego Chargers,8,8,.500,310,376,-66,-4.1,2.4,-1.8,0.4,-2.1
28,Oakland Raiders,7,9,.438,340,293,47,2.9,-0.5,2.4,0.3,2.1
29,Seattle Seahawks,7,9,.438,317,376,-59,-3.7,2.0,-1.7,1.0,-2.6
