,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Dallas Cowboys,11,3,0,.786,406,222,184,13.1,-3.3,9.9,8.3,1.6
1,Washington Redskins,9,4,1,.692,276,190,86,6.1,-1.0,5.1,-0.6,5.8
2,Philadelphia Eagles,6,7,1,.462,221,302,-81,-5.8,1.5,-4.3,-2.7,-1.6
3,St. Louis Cardinals,4,9,1,.308,231,279,-48,-3.4,-0.8,-4.2,-4.0,-0.2
4,New York Giants,4,10,0,.286,228,362,-134,-9.6,1.6,-8.0,-1.7,-6.3
5,Minnesota Vikings,11,3,0,.786,245,139,106,7.6,-1.1,6.5,-3.4,9.9
6,Detroit Lions,7,6,1,.538,341,286,55,3.9,0.2,4.1,6.5,-2.4
7,Chicago Bears,6,8,0,.429,185,276,-91,-6.5,3.1,-3.4,-4.4,1.1
8,Green Bay Packers,4,8,2,.333,274,298,-24,-1.7,0.7,-1.0,1.4,-2.3
9,San Francisco 49ers,9,5,0,.643,300,216,84,6.0,0.3,6.3,2.4,3.8
10,Los Angeles Rams,8,5,1,.615,313,260,53,3.8,2.8,6.6,4.2,2.4
11,Atlanta Falcons,7,6,1,.538,274,277,-3,-0.2,1.5,1.3,0.3,1.0
12,New Orleans Saints,4,8,2,.333,266,347,-81,-5.8,3.0,-2.7,1.4,-4.1
13,Miami Dolphins,10,3,1,.769,315,174,141,10.1,-2.4,7.7,2.4,5.3
14,Baltimore Colts,10,4,0,.714,313,140,173,12.4,-1.9,10.4,2.0,8.5
15,New England Patriots,6,8,0,.429,238,325,-87,-6.2,1.1,-5.1,-2.1,-3.0
16,New York Jets,6,8,0,.429,212,299,-87,-6.2,0.8,-5.4,-3.7,-1.6
17,Buffalo Bills,1,13,0,.071,184,394,-210,-15.0,1.6,-13.4,-4.5,-8.9
18,Cleveland Browns,9,5,0,.643,285,273,12,0.9,-0.6,0.3,1.1,-0.8
19,Pittsburgh Steelers,6,8,0,.429,246,292,-46,-3.3,-0.3,-3.6,-1.8,-1.8
20,Houston Oilers,4,9,1,.308,251,330,-79,-5.6,-1.1,-6.7,-3.0,-3.8
21,Cincinnati Bengals,4,10,0,.286,284,265,19,1.4,-1.9,-0.5,-0.4,-0.1
22,Kansas City Chiefs,10,3,1,.769,302,208,94,6.7,-1.7,5.1,0.6,4.5
23,Oakland Raiders,8,4,2,.667,344,278,66,4.7,-1.0,3.7,4.8,-1.1
24,San Diego Chargers,6,8,0,.429,311,341,-30,-2.1,-1.9,-4.1,2.6,-6.6
25,Denver Broncos,4,9,1,.308,203,275,-72,-5.1,0.6,-4.5,-5.5,1.0
