,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Cleveland Browns,10,3,1,.769,415,293,122,8.7,-3.5,5.2,6.5,-1.4
1,St. Louis Cardinals,9,3,2,.750,357,331,26,1.9,-2.5,-0.6,2.5,-3.1
2,Philadelphia Eagles,6,8,0,.429,312,313,-1,-0.1,-3.5,-3.6,-1.5,-2.0
3,Washington Redskins,6,8,0,.429,307,305,2,0.1,-2.6,-2.5,-1.9,-0.6
4,Dallas Cowboys,5,8,1,.385,250,289,-39,-2.8,-2.7,-5.4,-6.2,0.8
5,Pittsburgh Steelers,5,9,0,.357,253,315,-62,-4.4,-2.4,-6.9,-5.9,-1.0
6,New York Giants,2,10,2,.167,241,399,-158,-11.3,-1.3,-12.6,-5.4,-7.2
7,Baltimore Colts,12,2,0,.857,428,225,203,14.5,1.0,15.5,9.3,6.2
8,Green Bay Packers,8,5,1,.615,342,245,97,6.9,2.4,9.3,3.6,5.7
9,Minnesota Vikings,8,5,1,.615,355,296,59,4.2,1.6,5.8,4.6,1.1
10,Detroit Lions,7,5,2,.583,280,260,20,1.4,2.7,4.1,-1.4,5.4
11,Los Angeles Rams,5,7,2,.417,283,339,-56,-4.0,3.1,-0.9,0.2,-1.0
12,Chicago Bears,5,9,0,.357,260,379,-119,-8.5,3.9,-4.6,-0.8,-3.8
13,San Francisco 49ers,4,10,0,.286,236,330,-94,-6.7,3.9,-2.8,-3.6,0.7
