,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Chicago Cardinals,11.0,2.0,1.0,0.846,230.0,65.0,165.0,11.8,-10.1,1.7,1.3,0.4
1,Pottsville Maroons,10.0,2.0,0.0,0.833,270.0,45.0,225.0,18.8,-5.1,13.7,11.5,2.2
2,Detroit Panthers,8.0,2.0,2.0,0.8,129.0,39.0,90.0,7.5,-8.4,-0.9,-2.5,1.6
3,Akron Pros,4.0,2.0,2.0,0.667,65.0,51.0,14.0,1.8,2.7,4.5,0.7,3.8
4,New York Giants,8.0,4.0,0.0,0.667,122.0,67.0,55.0,4.6,-4.6,0.0,-0.7,0.7
5,Frankford Yellow Jackets,13.0,7.0,0.0,0.65,190.0,169.0,21.0,1.1,-1.0,0.1,0.7,-0.6
6,Chicago Bears,9.0,5.0,3.0,0.643,158.0,96.0,62.0,3.6,-0.5,3.2,0.8,2.4
7,Rock Island Independents,5.0,3.0,3.0,0.625,99.0,58.0,41.0,3.7,-1.9,1.8,-1.2,3.0
8,Green Bay Packers,8.0,5.0,0.0,0.615,151.0,110.0,41.0,3.2,-1.8,1.3,0.6,0.8
9,Providence Steam Roller,6.0,5.0,1.0,0.545,111.0,101.0,10.0,0.8,-2.3,-1.5,-1.4,-0.1
10,Canton Bulldogs,4.0,4.0,0.0,0.5,50.0,73.0,-23.0,-2.9,-0.7,-3.6,-2.8,-0.8
11,Cleveland Bulldogs,5.0,8.0,1.0,0.385,75.0,135.0,-60.0,-4.3,3.7,-0.5,-2.0,1.4
12,Kansas City Cowboys,2.0,5.0,1.0,0.286,65.0,97.0,-32.0,-4.0,8.5,4.5,5.2,-0.7
13,Hammond Pros,1.0,4.0,0.0,0.2,23.0,87.0,-64.0,-12.8,9.6,-3.2,1.0,-4.1
14,Buffalo Bisons,1.0,6.0,2.0,0.143,33.0,113.0,-80.0,-8.9,2.4,-6.5,-4.5,-2.0
15,Dayton Triangles,0.0,7.0,1.0,0.0,3.0,84.0,-81.0,-10.1,8.9,-1.3,-3.3,2.0
16,Duluth Kelleys,0.0,3.0,0.0,0.0,6.0,25.0,-19.0,-6.3,-0.1,-6.4,-7.3,0.9
17,Columbus Tigers,0.0,9.0,0.0,0.0,28.0,124.0,-96.0,-10.7,9.0,-1.6,-1.0,-0.6
18,Milwaukee Badgers,0.0,6.0,0.0,0.0,7.0,191.0,-184.0,-30.7,6.6,-24.0,-3.8,-20.2
19,Rochester Jeffersons,0.0,6.0,1.0,0.0,26.0,111.0,-85.0,-12.1,8.6,-3.5,-0.7,-2.8
