,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,10,6,0,.625,379,319,60,3.8,-0.3,3.4,2.3,1.1
1,New York Giants,10,6,0,.625,359,304,55,3.4,-1.3,2.2,1.5,0.7
2,Washington Redskins,7,9,0,.438,345,387,-42,-2.6,0.4,-2.2,1.2,-3.4
3,Phoenix Cardinals,7,9,0,.438,344,398,-54,-3.4,0.2,-3.2,0.5,-3.7
4,Dallas Cowboys,3,13,0,.188,265,381,-116,-7.3,1.2,-6.1,-3.8,-2.3
5,Chicago Bears,12,4,0,.750,312,215,97,6.1,0.5,6.6,0.0,6.6
6,Minnesota Vikings,11,5,0,.688,406,233,173,10.8,0.0,10.9,6.5,4.3
7,Tampa Bay Buccaneers,5,11,0,.313,261,350,-89,-5.6,1.5,-4.1,-1.9,-2.2
8,Detroit Lions,4,12,0,.250,220,313,-93,-5.8,1.8,-4.0,-5.0,1.0
9,Green Bay Packers,4,12,0,.250,240,315,-75,-4.7,1.4,-3.3,-3.9,0.6
10,San Francisco 49ers,10,6,0,.625,369,294,75,4.7,0.1,4.8,3.1,1.7
11,Los Angeles Rams,10,6,0,.625,407,293,114,7.1,-0.6,6.5,5.6,0.9
12,New Orleans Saints,10,6,0,.625,312,283,29,1.8,-0.3,1.5,-1.0,2.6
13,Atlanta Falcons,5,11,0,.313,244,315,-71,-4.4,-0.1,-4.5,-5.0,0.5
14,Buffalo Bills,12,4,0,.750,329,237,92,5.8,0.6,6.4,0.0,6.4
15,Indianapolis Colts,9,7,0,.563,354,315,39,2.4,0.8,3.2,2.9,0.3
16,New England Patriots,9,7,0,.563,250,284,-34,-2.1,2.0,-0.2,-4.5,4.4
17,New York Jets,8,7,1,.531,372,354,18,1.1,0.3,1.4,3.7,-2.4
18,Miami Dolphins,6,10,0,.375,319,380,-61,-3.8,1.0,-2.8,1.0,-3.9
19,Cincinnati Bengals,12,4,0,.750,448,329,119,7.4,-1.3,6.1,7.1,-1.0
20,Cleveland Browns,10,6,0,.625,304,288,16,1.0,-0.5,0.5,-3.5,4.0
21,Houston Oilers,10,6,0,.625,424,365,59,3.7,-0.7,3.0,5.3,-2.3
22,Pittsburgh Steelers,5,11,0,.313,336,421,-85,-5.3,0.0,-5.3,0.1,-5.5
23,Seattle Seahawks,9,7,0,.563,339,329,10,0.6,-1.4,-0.7,1.2,-2.0
24,Denver Broncos,8,8,0,.500,327,352,-25,-1.6,-1.8,-3.3,0.1,-3.4
25,Los Angeles Raiders,7,9,0,.438,325,369,-44,-2.8,-0.8,-3.6,-0.3,-3.3
26,San Diego Chargers,6,10,0,.375,231,332,-101,-6.3,-1.1,-7.4,-7.1,-0.2
27,Kansas City Chiefs,4,11,1,.281,254,320,-66,-4.1,-1.6,-5.7,-6.0,0.3
