,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,11,4,0,.733,379,285,94,6.3,-2.5,3.8,1.8,2.0
1,Dallas Cowboys,7,8,0,.467,340,348,-8,-0.5,-1.5,-2.0,-0.2,-1.8
2,St. Louis Cardinals,7,8,0,.467,362,368,-6,-0.4,-0.5,-0.9,2.2,-3.1
3,Philadelphia Eagles,7,8,0,.467,337,380,-43,-2.9,0.8,-2.0,1.3,-3.3
4,New York Giants,6,9,0,.400,280,312,-32,-2.1,1.4,-0.7,-2.9,2.2
5,Chicago Bears,11,4,0,.733,356,282,74,4.9,-1.1,3.8,1.5,2.3
6,Minnesota Vikings,8,7,0,.533,336,335,1,0.1,-2.7,-2.6,-0.1,-2.5
7,Green Bay Packers,5,9,1,.367,255,300,-45,-3.0,-0.4,-3.4,-5.3,1.9
8,Tampa Bay Buccaneers,4,11,0,.267,286,360,-74,-4.9,-0.8,-5.8,-3.1,-2.7
9,Detroit Lions,4,11,0,.267,269,384,-115,-7.7,-2.2,-9.9,-4.5,-5.4
10,San Francisco 49ers,13,2,0,.867,459,253,206,13.7,-0.4,13.3,8.9,4.4
11,New Orleans Saints,12,3,0,.800,422,283,139,9.3,0.8,10.1,6.8,3.3
12,Los Angeles Rams,6,9,0,.400,317,361,-44,-2.9,1.1,-1.8,-0.6,-1.2
13,Atlanta Falcons,3,12,0,.200,205,436,-231,-15.4,1.6,-13.8,-7.9,-5.9
14,Indianapolis Colts,9,6,0,.600,300,238,62,4.1,0.1,4.3,-1.3,5.5
15,New England Patriots,8,7,0,.533,320,293,27,1.8,1.3,3.1,0.5,2.6
16,Miami Dolphins,8,7,0,.533,362,335,27,1.8,0.3,2.1,3.2,-1.1
17,Buffalo Bills,7,8,0,.467,270,305,-35,-2.3,2.1,-0.2,-2.6,2.4
18,New York Jets,6,9,0,.400,334,360,-26,-1.7,0.4,-1.3,1.3,-2.7
19,Cleveland Browns,10,5,0,.667,390,239,151,10.1,0.7,10.8,5.3,5.5
20,Houston Oilers,9,6,0,.600,345,349,-4,-0.3,2.2,1.9,3.2,-1.2
21,Pittsburgh Steelers,8,7,0,.533,285,299,-14,-0.9,1.6,0.7,-2.2,2.9
22,Cincinnati Bengals,4,11,0,.267,285,370,-85,-5.7,2.0,-3.7,-1.8,-1.9
23,Denver Broncos,10,4,1,.700,379,288,91,6.1,-1.9,4.1,3.2,0.9
24,Seattle Seahawks,9,6,0,.600,371,314,57,3.8,-1.9,1.9,2.4,-0.4
25,San Diego Chargers,8,7,0,.533,253,317,-64,-4.3,0.5,-3.7,-4.3,0.5
26,Los Angeles Raiders,5,10,0,.333,301,289,12,0.8,-0.8,0.0,-1.6,1.7
27,Kansas City Chiefs,4,11,0,.267,273,388,-115,-7.7,-0.3,-8.0,-3.2,-4.8
