,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Providence Steam Roller,8.0,1.0,2.0,0.889,128.0,42.0,86.0,7.8,-2.9,4.9,0.3,4.6
1,Frankford Yellow Jackets,11.0,3.0,2.0,0.786,175.0,84.0,91.0,5.7,-2.5,3.2,0.3,3.0
2,Detroit Wolverines,7.0,2.0,1.0,0.778,189.0,76.0,113.0,11.3,1.3,12.6,10.2,2.4
3,Green Bay Packers,6.0,4.0,3.0,0.6,120.0,92.0,28.0,2.2,-2.0,0.1,-1.2,1.3
4,Chicago Bears,7.0,5.0,1.0,0.583,182.0,85.0,97.0,7.5,-4.3,3.1,2.1,1.1
5,New York Giants,4.0,7.0,2.0,0.364,79.0,136.0,-57.0,-4.4,2.9,-1.5,-2.7,1.2
6,New York Yankees,4.0,8.0,1.0,0.333,103.0,179.0,-76.0,-5.8,2.7,-3.2,-0.4,-2.8
7,Pottsville Maroons,2.0,8.0,0.0,0.2,74.0,134.0,-60.0,-6.0,1.3,-4.7,-0.3,-4.4
8,Chicago Cardinals,1.0,5.0,0.0,0.167,7.0,107.0,-100.0,-16.7,1.1,-15.6,-7.8,-7.7
9,Dayton Triangles,0.0,7.0,0.0,0.0,9.0,131.0,-122.0,-17.4,7.0,-10.4,-4.5,-6.0
