,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,8,4,0,.667,308,242,66,5.5,-3.0,2.5,2.5,0.0
1,Pittsburgh Steelers,8,4,0,.667,240,259,-19,-1.6,-2.5,-4.1,-3.4,-0.7
2,Boston Yanks,4,7,1,.364,168,256,-88,-7.3,-1.6,-8.9,-9.9,0.9
3,Washington Redskins,4,8,0,.333,295,367,-72,-6.0,-1.7,-7.7,2.7,-10.4
4,New York Giants,2,8,2,.200,190,309,-119,-9.9,-1.5,-11.4,-6.7,-4.7
5,Chicago Cardinals,9,3,0,.750,306,231,75,6.3,1.9,8.1,4.4,3.7
6,Chicago Bears,8,4,0,.667,363,241,122,10.2,1.5,11.6,9.6,2.1
7,Green Bay Packers,6,5,1,.545,274,210,64,5.3,2.0,7.3,1.0,6.3
8,Los Angeles Rams,6,6,0,.500,259,214,45,3.8,2.1,5.9,0.9,5.0
9,Detroit Lions,3,9,0,.250,231,305,-74,-6.2,2.8,-3.3,-1.1,-2.3
