,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Philadelphia Eagles,10,2,0,.833,321,246,75,6.3,0.4,6.7,5.6,1.1
1,Cleveland Browns,8,3,1,.727,362,217,145,12.1,-1.1,11.0,8.2,2.9
2,New York Giants,6,4,2,.600,271,261,10,0.8,1.1,1.9,1.6,0.3
3,St. Louis Cardinals,6,5,1,.545,288,230,58,4.8,0.3,5.2,1.8,3.3
4,Pittsburgh Steelers,5,6,1,.455,240,275,-35,-2.9,2.2,-0.7,-1.2,0.4
5,Washington Redskins,1,9,2,.100,178,309,-131,-10.9,2.9,-8.0,-6.1,-1.9
6,Green Bay Packers,8,4,0,.667,332,209,123,10.3,-2.8,7.5,5.5,2.0
7,Detroit Lions,7,5,0,.583,239,212,27,2.3,-1.1,1.2,-2.4,3.6
8,San Francisco 49ers,7,5,0,.583,208,205,3,0.3,-1.1,-0.9,-5.2,4.3
9,Baltimore Colts,6,6,0,.500,288,234,54,4.5,-2.5,2.1,2.0,0.1
10,Chicago Bears,5,6,1,.455,194,299,-105,-8.8,0.8,-8.0,-4.9,-3.0
11,Los Angeles Rams,4,7,1,.364,265,297,-32,-2.7,-0.5,-3.2,1.2,-4.4
12,Dallas Cowboys,0,11,1,.000,177,369,-192,-16.0,1.2,-14.8,-6.1,-8.7
