,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Washington Redskins,8,3,0,.727,195,120,75,6.8,-3.8,3.0,3.5,-0.6
1,New York Giants,6,3,2,.667,128,109,19,1.7,-1.1,0.7,-2.1,2.8
2,Pittsburgh Pirates,4,7,0,.364,122,145,-23,-2.1,-1.3,-3.3,-2.1,-1.2
3,Brooklyn Dodgers,3,7,1,.300,82,174,-92,-8.4,-0.9,-9.3,-5.6,-3.7
4,Philadelphia Eagles,2,8,1,.200,86,177,-91,-8.3,-1.5,-9.8,-5.7,-4.0
5,Chicago Bears,9,1,1,.900,201,100,101,9.2,0.6,9.7,5.6,4.1
6,Detroit Lions,7,4,0,.636,180,105,75,6.8,0.9,7.7,3.7,4.0
7,Green Bay Packers,7,4,0,.636,220,122,98,8.9,1.0,9.9,7.7,2.3
8,Chicago Cardinals,5,5,1,.500,135,165,-30,-2.7,2.6,-0.2,0.1,-0.2
9,Cleveland Rams,1,10,0,.091,75,207,-132,-12.0,3.5,-8.5,-5.0,-3.5
