,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,Chicago Staleys,9.0,1.0,1.0,0.9,128.0,53.0,75.0,6.8,-3.9,2.9,0.4,2.6
1,Akron Pros,8.0,3.0,1.0,0.727,148.0,31.0,117.0,9.8,2.0,11.7,1.4,10.3
2,Canton Bulldogs,5.0,2.0,3.0,0.714,106.0,55.0,51.0,5.1,7.2,12.3,5.9,6.4
3,Rock Island Independents,4.0,2.0,1.0,0.667,65.0,30.0,35.0,5.0,3.0,8.0,1.2,6.9
4,Evansville Crimson Giants,3.0,2.0,0.0,0.6,89.0,46.0,43.0,8.6,-20.9,-12.3,0.5,-12.8
5,Green Bay Packers,3.0,2.0,1.0,0.6,70.0,55.0,15.0,2.5,-2.4,0.1,1.5,-1.4
6,Dayton Triangles,4.0,4.0,1.0,0.5,96.0,67.0,29.0,3.2,2.5,5.7,2.0,3.7
7,Chicago Cardinals,3.0,3.0,2.0,0.5,54.0,53.0,1.0,0.1,-2.6,-2.4,-3.2,0.7
8,Rochester Jeffersons,2.0,3.0,0.0,0.4,85.0,76.0,9.0,1.8,-3.4,-1.6,3.3,-5.0
9,Cleveland Indians,3.0,5.0,0.0,0.375,95.0,58.0,37.0,4.6,-3.4,1.2,-3.1,4.3
10,Washington Senators,1.0,2.0,0.0,0.333,21.0,43.0,-22.0,-7.3,0.4,-6.9,-1.3,-5.6
11,Hammond Pros,1.0,3.0,1.0,0.25,17.0,45.0,-28.0,-5.6,9.8,4.2,-2.8,6.9
12,Minneapolis Marines,1.0,3.0,0.0,0.25,37.0,41.0,-4.0,-1.0,2.6,1.6,-0.4,2.0
13,Cincinnati Celts,1.0,3.0,0.0,0.25,14.0,117.0,-103.0,-25.8,0.1,-25.6,-3.2,-22.5
14,Detroit Tigers,1.0,5.0,1.0,0.167,19.0,109.0,-90.0,-12.9,8.6,-4.2,-1.0,-3.2
15,Columbus Panhandles,1.0,8.0,0.0,0.111,47.0,222.0,-175.0,-19.4,7.8,-11.7,1.8,-13.5
16,Louisville Brecks,0.0,2.0,0.0,0.0,0.0,27.0,-27.0,-13.5,-12.0,-25.5,-23.0,-2.5
17,Muncie Flyers,0.0,2.0,0.0,0.0,0.0,28.0,-28.0,-14.0,-19.0,-33.0,-27.5,-5.5
18,New York Brickley Giants,0.0,2.0,0.0,0.0,0.0,72.0,-72.0,-36.0,5.7,-30.3,-5.1,-25.2
19,Tonawanda Kardex,0.0,1.0,0.0,0.0,0.0,45.0,-45.0,-45.0,6.5,-38.5,-10.7,-27.7
